Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
1697,676,51250,32119,340,0,1501,0,0,01031
484,232,88077,41687,48,0,479,0,0,01032
6096,2686,102248,56389,304,122,5782,31,0,01033
2065,843,104583,52303,130,21,1953,12,5,01034
5295,2323,112450,57534,230,5,4849,129,0,01035
4966,1971,110320,47370,115,0,4618,22,18,01036
582,257,78047,50852,9,1,547,11,1,01037
2469,1058,103125,52302,160,0,2146,25,30,01038
1728,720,109167,53797,68,23,1635,0,23,01039
38210,15112,49007,27973,9675,1758,25804,310,197,01040
2714,1102,84333,38572,322,35,2589,0,7,01050
1885,742,60875,41167,177,165,1653,6,0,01053
1793,738,105833,59459,166,10,1610,67,0,01054
20883,8502,76395,40007,1969,255,18474,219,0,01056
8215,3473,85614,45566,859,49,7775,168,0,01057
14724,7391,79604,54147,1692,154,12648,493,36,01060
9491,4178,87409,54029,955,157,8408,121,10,01062
2089,6,-666666666,6259,0,111,1352,458,0,01063
134,69,20202,14180,83,0,134,0,0,01066
1585,613,93906,45686,83,21,1481,0,0,01068
8516,3848,71439,42227,636,237,7389,151,0,01069
571,261,60313,46148,87,1,507,1,9,01070
1259,530,105417,48280,48,30,1170,1,0,01071
1413,614,99000,49305,61,6,1290,12,0,01072
6185,2496,114531,52126,114,21,5641,110,0,01073
694,180,88190,25599,331,0,664,0,0,01074
17115,7316,92740,50904,1220,229,15127,866,0,01075
9244,3691,106779,47760,388,22,8607,105,40,01077
640,262,-666666666,22823,150,1,604,0,0,01079
2674,989,89335,39858,122,88,2076,20,0,01080
1716,692,88636,42857,76,9,1633,2,2,01081
10533,4843,66607,36326,1134,295,9685,1,0,01082
2539,903,87511,31999,307,23,2243,163,0,01083
99,50,86538,59987,9,0,99,0,0,01084
41592,15767,78901,39355,3396,632,35627,1832,16,01085
725,390,51591,35602,83,0,693,32,0,01088
28755,12691,67297,41129,3022,1016,23198,1530,68,01089
1428,618,69048,46754,99,30,1398,0,0,01092
145,69,130781,62899,0,0,145,0,0,01093
44,13,87188,26461,0,0,44,0,0,01094
14673,5382,126689,53666,552,555,13153,224,0,01095
2516,1107,106250,53674,110,21,2408,1,14,01096
36,17,-666666666,36369,0,0,36,0,0,01097
951,467,91181,52963,27,0,923,0,0,01098
2245,1496,21288,35124,998,496,1002,69,24,01103
22606,9103,47413,25870,4550,3125,9903,158,33,01104
12045,5018,23948,17031,5784,2137,4019,22,1,01105
16019,5976,137597,64194,585,206,14148,926,0,01106
12443,4290,30825,19264,5047,1444,5087,191,4,01107
26198,10505,48465,27079,7419,4745,11877,1797,77,01108
31301,9623,42928,19730,6997,11227,11441,425,343,01109
15112,5724,78354,35812,2232,2729,9067,797,76,01118
14182,5173,54326,28735,2336,3237,7541,640,73,01119
3063,1102,77050,36332,216,264,2224,101,0,01128
6486,2661,80352,38277,757,793,4235,163,17,01129
0,0,-666666666,-666666666,0,0,0,0,0,01144
9467,3615,51410,24279,1661,1677,4899,108,0,01151
45188,19874,67262,42404,6084,2599,37269,566,68,01201
8149,4041,54677,36671,1123,28,7712,62,3,01220
623,238,78077,37698,43,0,623,0,0,01222
2565,1181,79226,51052,216,38,2359,8,4,01223
124,56,-666666666,103884,0,0,124,0,0,01224
3239,1547,72485,42556,209,26,2920,79,11,01225
6332,2884,76198,47459,492,19,5998,73,0,01226
125,83,-666666666,54318,27,0,125,0,0,01229
9095,3776,73884,49984,647,209,8199,50,23,01230
2461,1059,71641,38154,203,12,2283,0,6,01235
1625,619,113958,59061,47,13,1300,257,0,01236
2451,1042,86300,42726,87,25,2414,0,0,01237
5928,2572,77679,48941,396,36,5431,140,15,01238
4922,2239,82578,55990,340,78,4522,13,16,01240
255,70,-666666666,20109,10,0,255,0,0,01242
135,72,79167,47043,7,0,122,0,6,01243
158,74,56842,32915,8,0,158,0,0,01244
828,335,111354,71444,69,3,790,3,0,01245
15279,6783,53692,35363,1900,225,13663,436,33,01247
818,377,102596,56864,18,0,792,0,0,01253
961,440,91667,85255,50,43,887,14,0,01254
931,355,73958,41711,56,16,841,6,0,01255
620,305,54219,34942,90,27,584,0,1,01256
2230,1011,78940,67342,287,1,2123,46,0,01257
188,81,117917,48650,6,0,183,0,0,01258
733,266,120568,49273,22,38,682,0,0,01259
20,9,-666666666,-1,0,0,20,0,0,01260
1785,715,75804,75130,253,67,1631,39,5,01262
207,98,78750,64595,30,0,204,0,0,01264
952,456,85714,81899,98,1,903,12,17,01266
8142,2735,101823,46241,630,270,6884,393,8,01267
999,398,100833,57440,43,0,843,7,0,01270
17880,8225,53536,33661,2646,430,15971,305,18,01301
1607,759,80560,45612,188,1,1436,16,0,01330
13845,5412,66985,31132,1394,67,12914,86,10,01331
2470,1044,79000,41741,157,2,2340,21,1,01337
65,48,56250,48442,0,0,60,0,0,01338
1396,634,69500,47879,131,0,1343,27,0,01339
1890,835,74632,40780,135,11,1799,11,0,01340
1620,714,92500,55697,52,0,1560,7,4,01341
1321,393,99583,37702,214,43,990,4,0,01342
167,72,76250,31499,14,0,158,0,0,01343
1631,677,70560,36246,131,20,1544,0,7,01344
409,203,105944,53698,34,0,372,9,0,01346
197,101,74712,41031,27,0,139,34,0,01347
764,343,70240,33179,117,0,656,15,5,01349
103,53,-666666666,67008,11,0,103,0,0,01350
2741,1034,96389,37338,203,29,2647,0,4,01351
1747,627,79135,44208,160,43,1551,101,0,01354
1009,412,76739,39317,108,0,784,10,3,01355
2871,1225,94775,47383,204,6,2628,2,0,01360
7643,3044,55773,29605,1545,74,7054,52,11,01364
1177,461,104205,44519,74,5,1077,12,0,01366
504,198,78125,34390,65,5,443,2,0,01367
1455,538,98542,37502,163,0,1406,2,0,01368
3713,1741,74680,40224,500,15,3350,56,0,01370
4921,2309,96546,62237,168,11,4789,1,0,01373
3658,1765,59185,37032,676,101,2878,551,0,01375
4868,2289,53671,35289,425,18,4395,6,0,01376
814,348,89643,45425,54,0,787,9,0,01378
779,366,66290,37726,121,50,662,18,0,01379
25,9,-666666666,40952,7,0,25,0,0,01380
41661,16700,65599,33350,5637,2980,28738,724,103,01420
6457,2319,111801,47204,616,48,5975,54,14,01430
3187,1241,105750,51270,91,0,3089,15,0,01431
8118,3630,99375,54953,572,236,6291,131,8,01432
1763,278,106875,31493,82,418,1066,212,16,01434
3694,1275,90225,33691,209,18,3582,0,0,01436
385,133,83953,34830,4,3,382,0,0,01438
21231,8939,57289,32916,2968,496,18204,678,44,01440
11212,3700,186750,71901,501,50,9748,536,0,01450
5362,1766,199191,96736,233,0,4713,258,0,01451
4338,1553,114922,44194,324,121,3967,109,10,01452
43550,18404,75954,44024,3874,2835,33333,1288,45,01453
10084,3557,151488,63565,691,62,8833,715,5,01460
11765,4604,106473,49198,842,225,10643,112,0,01462
11667,4339,124052,52295,729,289,10192,633,0,01463
7092,2470,114118,46749,125,526,6009,145,3,01464
4009,1658,106581,50289,182,0,3826,72,0,01468
7168,2797,100402,45757,494,283,6259,296,0,01469
8220,3248,95674,49162,278,0,8013,53,0,01473
1902,707,117109,45573,188,0,1721,0,0,01474
10180,3588,85379,37890,1023,129,8817,434,0,01475
16763,6672,101992,47783,612,78,15383,453,0,01501
3514,1432,123077,65786,176,36,3217,108,0,01503
9195,3874,95132,47530,445,286,8053,177,0,01504
4855,1864,133292,65580,390,15,4507,169,0,01505
3443,1445,71122,40803,245,13,3269,6,0,01506
13338,4833,113896,48602,498,82,12537,24,14,01507
15347,6732,89888,45012,922,254,13025,281,23,01510
2120,871,77122,41738,131,21,1979,33,0,01515
9213,3160,138276,54495,281,17,8829,29,0,01516
3047,1316,102500,51032,280,34,2840,88,0,01518
7634,2637,144452,59435,417,43,6593,529,0,01519
