Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
7651.0,3084.0,62206.0,33984.0,695.0,13.0,161.0,13340
3412.0,1205.0,78388.0,32361.0,121.0,0.0,6.0,13354
7110.0,1719.0,95700.0,27818.0,207.0,25.0,799.0,13403
16169.0,6626.0,84262.0,49338.0,603.0,709.0,191.0,13413
3293.0,1625.0,48260.0,29400.0,622.0,85.0,29.0,13417
2383.0,875.0,65875.0,31576.0,142.0,126.0,156.0,13424
3904.0,1487.0,79625.0,38575.0,263.0,77.0,12.0,13456
11155.0,4760.0,77143.0,41280.0,718.0,192.0,251.0,13492
2123.0,820.0,57581.0,26624.0,111.0,16.0,23.0,13495
40307.0,14700.0,44904.0,23843.0,10904.0,5852.0,5748.0,13501
33986.0,13199.0,50220.0,27360.0,7074.0,1384.0,4426.0,13502
38695.0,16326.0,53813.0,30393.0,6376.0,721.0,2668.0,13601
3765.0,0.0,-666666666.0,24026.0,0.0,256.0,789.0,13602
12753.0,4212.0,53392.0,19927.0,988.0,345.0,1478.0,13603
2510.0,1180.0,59063.0,31225.0,401.0,138.0,0.0,13612
2265.0,966.0,44348.0,31633.0,292.0,121.0,166.0,13616
3913.0,1489.0,66753.0,30872.0,607.0,0.0,35.0,13634
4342.0,1792.0,57899.0,28492.0,118.0,17.0,681.0,13637
415.0,143.0,-666666666.0,21823.0,0.0,0.0,0.0,13638
3511.0,1544.0,59107.0,31465.0,399.0,0.0,0.0,13748
43779.0,19362.0,58202.0,33945.0,6277.0,888.0,1941.0,13760
18663.0,8124.0,49959.0,29098.0,3273.0,988.0,963.0,13790
3106.0,1537.0,49393.0,32591.0,455.0,118.0,91.0,13795
11462.0,5084.0,63392.0,36182.0,1193.0,171.0,102.0,13827
22847.0,9311.0,70760.0,44930.0,3318.0,2939.0,513.0,13850
19983.0,8480.0,45070.0,32893.0,4981.0,318.0,1082.0,13901
19225.0,8127.0,53804.0,31498.0,3601.0,191.0,1928.0,13903
9448.0,3637.0,52678.0,25361.0,1835.0,305.0,1081.0,13904
27362.0,11321.0,46999.0,29356.0,7412.0,2306.0,2668.0,13905
11946.0,3920.0,75568.0,29126.0,453.0,82.0,998.0,14004
498.0,295.0,61058.0,42336.0,47.0,0.0,0.0,14026
9626.0,3967.0,81339.0,52134.0,590.0,45.0,30.0,14031
10734.0,3733.0,134256.0,59767.0,589.0,31.0,24.0,14032
25644.0,11177.0,65289.0,34758.0,2071.0,132.0,828.0,14043
19498.0,7892.0,108065.0,54168.0,1212.0,1938.0,612.0,14051
18053.0,7274.0,96802.0,46920.0,361.0,96.0,73.0,14052
9553.0,3761.0,70596.0,50610.0,239.0,52.0,0.0,14059
7528.0,2842.0,105698.0,53184.0,1099.0,441.0,301.0,14068
21340.0,8800.0,97128.0,45317.0,769.0,436.0,471.0,14072
44452.0,19501.0,69876.0,40888.0,2432.0,248.0,463.0,14075
34961.0,14655.0,88615.0,47370.0,1333.0,207.0,429.0,14086
10744.0,4776.0,64370.0,39495.0,1050.0,137.0,127.0,14092
50403.0,21279.0,65812.0,34485.0,4492.0,436.0,2670.0,14094
44079.0,18918.0,70248.0,36434.0,4014.0,292.0,720.0,14120
30416.0,12446.0,94558.0,50382.0,2133.0,170.0,451.0,14127
4988.0,1931.0,84085.0,40198.0,142.0,3.0,87.0,14131
6930.0,2587.0,79725.0,35887.0,887.0,174.0,10.0,14132
41956.0,19293.0,62852.0,34461.0,4276.0,869.0,1400.0,14150
5798.0,2447.0,77601.0,44155.0,253.0,69.0,28.0,14174
12403.0,5770.0,31942.0,24512.0,5201.0,245.0,2586.0,14201
3909.0,2164.0,50526.0,51424.0,709.0,55.0,1090.0,14202
2046.0,1433.0,42067.0,37506.0,758.0,201.0,839.0,14203
8043.0,4381.0,24518.0,23975.0,2617.0,16.0,5134.0,14204
21479.0,9432.0,41741.0,25655.0,4857.0,873.0,2225.0,14206
25661.0,9902.0,32186.0,20072.0,9356.0,3470.0,3873.0,14207
11029.0,4349.0,41084.0,22059.0,2567.0,604.0,8350.0,14208
