State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop
Louisiana,LA,19705.65,2076.68,8172.86,72275.01,83061.29,468.4,916.07,16164.72,102766.94,0.19175086851861115,0.020207666006207832,0.07952810505012604,0.7032904745436616,0.8082491314813888,0.004557886028327787,0.008914053488407849,0.15729494329596658,1.0
Maine,ME,8369.63,1812.66,42.44,4142.68,4739.85,768.04,3063.33,0.0,13109.48,0.6384410365628537,0.1382709306547628,0.003237351901067014,0.3160064319866234,0.3615589634371463,0.05858661060545498,0.23367288405032083,0.0,1.0
Maryland,MD,19396.81,312.47,4639.31,13949.64,19025.38,1996.37,1779.68,14810.68,38422.19,0.5048335349963133,0.008132540076450614,0.12074558998328831,0.3630620742857187,0.49516646500368666,0.05195877694634272,0.046319067184874156,0.38547204102629234,1.0
Massachusetts,MA,7008.71,936.9,0.0,15775.97,17461.83,5353.15,477.57,0.0,24470.54,0.2864141943741331,0.03828685431543399,0.0,0.6446923525185795,0.7135858056258669,0.2187589648614211,0.019516120200044625,0.0,1.0
Michigan,MI,39071.93,2257.93,34482.19,41183.79,77248.46,1105.07,517.79,26013.36,116320.39,0.33589923486329437,0.019411300116858272,0.2964414923299346,0.3540547792179858,0.6641007651367057,0.009500226056669857,0.004451412172878718,0.22363542625673796,1.0
Minnesota,MN,34121.48,1186.67,16158.7,8736.08,25141.09,2144.36,950.43,14696.21,59262.57,0.5757678075723007,0.020023937537639695,0.2726628291685629,0.14741311421357528,0.42423219242769933,0.03618405344216426,0.016037610248762414,0.24798468915539773,1.0
Mississippi,MS,10424.0,1297.36,5651.37,51719.17,57379.69,525.92,0.0,8600.33,67803.69,0.1537379455306931,0.01913406187775326,0.0833490035719295,0.7627781024897022,0.8462620544693069,0.0077565100070512375,0.0,0.12684162174654506,1.0
Missouri,MO,18745.54,113.25,52832.38,8151.58,61146.92,680.76,1549.21,8874.77,79892.46,0.23463465763853059,0.0014175305153953201,0.6612936940482242,0.10203190639016498,0.7653653423614694,0.008520954292808107,0.01939119160932083,0.11108394959924879,1.0
Montana,MT,14020.65,27.95,11651.07,728.76,12667.54,84.91,9885.93,0.0,26688.19,0.5253503515974669,0.0010472797143605468,0.4365627642788814,0.027306460273251953,0.47464964840253315,0.0031815570857371745,0.3704233970156837,0.0,1.0
Nebraska,NE,19506.58,88.51,19945.27,1260.18,21240.45,109.99,1057.37,5618.5,40747.03,0.4787239708022892,0.002172182856026562,0.4894901542517332,0.03092691663662358,0.5212760291977109,0.0026993378413101518,0.0259496213589064,0.13788735031731147,1.0
Nevada,NV,16381.91,48.89,2735.26,24844.42,27594.88,10414.56,1685.78,0.0,43976.79,0.37251263677953755,0.0011117227974119985,0.06219780934442919,0.5649439170071303,0.6274873632204624,0.23681946772376972,0.03833340268809979,0.0,1.0
New Hampshire,NH,13702.09,852.76,305.46,4501.92,5302.59,244.19,1201.29,10921.53,19004.68,0.720985041579232,0.04487105281435941,0.01607288310037317,0.23688480942588877,0.27901495842076796,0.012848940366267677,0.06321021979849174,0.5746758166935724,1.0
New Jersey,NJ,33567.68,663.47,497.78,33394.32,34668.87,4690.9,0.0,28318.8,68236.55,0.4919310838546204,0.009723088286263008,0.007294917459924336,0.48939050992466643,0.5080689161453796,0.06874468301811858,0.0,0.41500925823477297,1.0
New Mexico,NM,17193.48,17.07,13292.0,10978.17,24288.71,2566.44,120.82,0.0,41482.19,0.41447859912892737,0.00041150189997201205,0.32042666985518364,0.2646477922211918,0.5855214008710725,0.061868478978568876,0.002912575252174487,0.0,1.0
