State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita
Hawaii,HI,3163.49,277.06,647.76,0.0,7561.48,1881.69,110.08,0.0,10724.97,0.2949649276408232,0.025833172493722596,0.06039737174089998,0.0,0.7050350723591767,0.17544944181662048,0.010263898174074148,0.0,1.0,366130,196864,579784,0.6314937976901742,0.3395471416941482,38846.93103448276,13182.655172413793,101047.27586206897,46208.0,3293.689655172414,832.448275862069,8095.0,16503.58620689655,83.48275862068965,0.018136556870542615,0.2311402449187633,0.3995562799369329,1268.4344827586208,978.2838335253377,4.5132861861784175,0.22865473416370977,4.5132861861784175,0.024967919569440108
Idaho,ID,12089.06,460.4,6.27,4335.01,4391.84,711.94,8359.74,0.0,16480.9,0.7335194073139208,0.027935367607351536,0.00038044038857101245,0.26303235866973285,0.26648059268607904,0.043197883610725143,0.507238075590532,0.0,1.0,287021,554119,868014,0.3306640215480395,0.6383756483190364,29950.775,11097.775,75235.225,37966.725,2894.9,251.225,25438.875,509.25,281.225,0.008189290771452548,0.8569156022139094,0.01729933098589424,1121.9027362817371,16.462275815251342,2.002778513889036,0.08640891747457653,2.002778513889036,0.0005174402212350871
Illinois,IL,125565.9,282.71,40559.22,19789.29,60913.63,2794.94,115.24,98869.58,186479.53,0.6733495091927784,0.0015160377120212603,0.21749958293009428,0.10612044120874822,0.3266504908072216,0.014987918513093636,0.000617976675509639,0.5301899892175833,1.0,3471915,2446891,6033743,0.5754164537667581,0.4055345081817372,24082.603818615753,9305.391408114558,89240.49164677804,45921.91646778043,2785.9236276849642,3994.9737470167065,14397.899761336515,1648.4892601431982,121.50835322195704,0.15513877603516485,0.6584422502744444,0.05664266131259176,985.971196127941,6.729883599022444,6.120050055238714,0.23659378160731595,6.120050055238714,0.00042807045974945987
Indiana,IN,12152.47,385.91,51384.11,32120.9,86230.68,1363.37,370.83,0.0,98383.15,0.12352186324589119,0.00392252128540304,0.5222856759516239,0.32648781829002227,0.8764781367541088,0.013857759179290356,0.0037692430055349924,0.0,1.0,1242416,1729519,3033118,0.4096167705971215,0.5702115776570512,20410.645454545454,8092.059090909091,70798.07727272727,36590.763636363634,2552.427272727273,2741.740909090909,15118.231818181817,695.1136363636364,39.88181818181818,0.12459722410881052,0.7682027105938204,0.02367989753241502,978.903841165252,6.409404014223954,7.272412182394511,0.23737518143461023,7.272412182394511,0.0003926678677334249
Iowa,IA,47801.34,220.14,18172.13,7339.04,25593.03,693.46,1009.83,0.0,73394.37,0.6512943703992554,0.0029994126252463234,0.24759569432914272,0.09999459086575714,0.3487056296007446,0.009448408644968273,0.01375895726061822,0.0,1.0,759061,897672,1700130,0.4464723285866375,0.5280019763194579,15705.34693877551,6360.806122448979,81925.5612244898,41157.5306122449,1865.3979591836735,991.5510204081633,12827.622448979591,629.3265306122449,50.58163265306123,0.05271527978939981,0.8424534055609526,0.03099817407402535,1010.2963665388776,2.9297442613261966,6.5037929904295,0.14876268469710818,6.5037929904295,0.00025082446178081635
Kansas,KS,38915.22,60.84,20229.36,3362.56,23369.2,161.27,23.67,8981.96,62284.42,0.6247986254026289,0.0009768092887434772,0.3247900518299761,0.05398717688950142,0.37520137459737124,0.002589251051868188,0.0003800308327507907,0.14420877644842803,1.0,570323,771406,1372303,0.4155955353883216,0.5621251283426474,14936.24107142857,5896.785714285715,83663.53571428571,43519.36607142857,1658.25,1146.4464285714287,11246.080357142857,673.1428571428571,104.24107142857143,0.06895157231846258,0.7761848345991629,0.03704876925793007,1100.5189068215257,7.542461972775926,8.093743611117985,0.22289887264801453,8.093743611117985,0.0005167582125626934
Kentucky,KY,5125.3,447.57,47053.33,16917.63,64105.26,147.9,4529.83,0.0,69230.56,0.07403233485327868,0.006464919538423494,0.6796612651984905,0.24436650519654907,0.9259676651467214,0.0021363397898269206,0.06543107552502825,0.0,1.0,772474,1326646,2136768,0.3615151481115404,0.6208657186929044,20819.935779816515,8389.201834862386,74126.62385321101,40479.00917431193,2725.422018348624,2560.211009174312,16284.88990825688,524.6238532110092,27.577981651376145,0.10656970277916071,0.8081312939938822,0.02019075170726255,1003.0323972644888,7.739838791386614,8.239550841082018,0.22971488340932486,8.239550841082018,0.0003711418256174605
Louisiana,LA,19705.65,2076.68,8172.86,72275.01,83061.29,468.4,916.07,16164.72,102766.94,0.19175086851861115,0.020207666006207832,0.07952810505012604,0.7032904745436616,0.8082491314813888,0.004557886028327787,0.008914053488407849,0.15729494329596658,1.0,856034,1255776,2148062,0.3985145680152621,0.5846088241400853,19524.14285714286,7533.484472049689,61903.664596273295,33978.80745341615,3470.2981366459626,6797.776397515528,10827.75155279503,425.27950310559004,82.87577639751552,0.335722341611804,0.5756002121831437,0.01972255162797399,1083.4567477160335,54.43416765078169,10.213917770426693,0.20103385519853106,10.213917770426693,0.002514986344007474
Maine,ME,8369.63,1812.66,42.44,4142.68,4739.85,768.04,3063.33,0.0,13109.48,0.6384410365628537,0.1382709306547628,0.003237351901067014,0.3160064319866234,0.3615589634371463,0.05858661060545498,0.23367288405032083,0.0,1.0,435072,360737,828305,0.5252557934577239,0.4355122811041826,10253.745454545455,4397.836363636364,80609.5090909091,45152.03636363636,973.0363636363636,304.76363636363635,9225.381818181819,165.14545454545456,31.4,0.014019843256755905,0.9304952669468484,0.009296250156878998,978.0719803547358,8.089453996667604,4.501348199730165,0.12181562984553,4.501348199730165,0.0009989547398085
Maryland,MD,19396.81,312.47,4639.31,13949.64,19025.38,1996.37,1779.68,14810.68,38422.19,0.5048335349963133,0.008132540076450614,0.12074558998328831,0.3630620742857187,0.49516646500368666,0.05195877694634272,0.046319067184874156,0.38547204102629234,1.0,1985023,976414,3037030,0.6536066486007711,0.3215029156774875,26404.033333333333,10042.733333333334,105721.84,51371.37333333334,2688.9666666666667,9133.253333333334,11508.873333333333,2123.1866666666665,83.18,0.2939069241209,0.5102454720157154,0.07076675052369866,1031.6082861612567,57.028082274437914,4.575158889379725,0.19542704535984987,4.575158889379725,0.0019347281595357446
Massachusetts,MA,7008.71,936.9,0.0,15775.97,17461.83,5353.15,477.57,0.0,24470.54,0.2864141943741331,0.03828685431543399,0.0,0.6446923525185795,0.7135858056258669,0.2187589648614211,0.019516120200044625,0.0,1.0,2382202,1167202,3658005,0.6512298370286536,0.3190815758863096,18623.964968152864,7268.8057324840765,114003.16242038217,58076.05414012739,1879.687898089172,1517.21974522293,13008.557324840764,1440.2675159235669,39.105095541401276,0.059204047138912044,0.7587373377303197,0.06769113933535653,974.7447821181676,56.510027438324514,2.1198445341578087,0.12188383377057664,2.1198445341578087,0.0032517858187441962
Michigan,MI,39071.93,2257.93,34482.19,41183.79,77248.46,1105.07,517.79,26013.36,116320.39,0.33589923486329437,0.019411300116858272,0.2964414923299346,0.3540547792179858,0.6641007651367057,0.009500226056669857,0.004451412172878718,0.22363542625673796,1.0,2804040,2649852,5539302,0.5062081829082437,0.4783729069113762,21554.13913043478,8597.08115942029,76623.5304347826,40060.45217391304,2849.704347826087,3770.9246376811593,15195.863768115942,897.3420289855072,65.6840579710145,0.15118005559014236,0.7396552416835463,0.034281203094797826,944.8083861574626,6.146332931521573,5.867157593810601,0.21664817294043945,5.867157593810601,0.0002823316793895811
Minnesota,MN,34121.48,1186.67,16158.7,8736.08,25141.09,2144.36,950.43,14696.21,59262.57,0.5757678075723007,0.020023937537639695,0.2726628291685629,0.14741311421357528,0.42423219242769933,0.03618405344216426,0.016037610248762414,0.24798468915539773,1.0,1717077,1484065,3277171,0.5239509930974001,0.4528494240916937,20702.779569892475,8194.709677419354,97178.95698924731,50511.25268817204,1835.9086021505377,1915.467741935484,15490.005376344086,1427.0860215053763,109.19354838709677,0.07919660675848803,0.7813284203539129,0.056046076068104946,984.3581837917188,8.677146291663012,3.2294309173404985,0.14338355014741952,3.2294309173404985,0.00043184500328286664
Mississippi,MS,10424.0,1297.36,5651.37,51719.17,57379.69,525.92,0.0,8600.33,67803.69,0.1537379455306931,0.01913406187775326,0.0833490035719295,0.7627781024897022,0.8462620544693069,0.0077565100070512375,0.0,0.12684162174654506,1.0,539398,756764,1313759,0.410576064559786,0.5760295457538255,19543.23611111111,7540.097222222223,59926.13888888889,31825.555555555555,3179.8333333333335,6803.25,11429.236111111111,291.81944444444446,42.75,0.36512876539128925,0.5711015056041339,0.012771552744736812,1090.3794945390416,6.092173610971539,9.398657082577218,0.20819217371988852,9.398657082577218,0.00025866483395212435
Missouri,MO,18745.54,113.25,52832.38,8151.58,61146.92,680.76,1549.21,8874.77,79892.46,0.23463465763853059,0.0014175305153953201,0.6612936940482242,0.10203190639016498,0.7653653423614694,0.008520954292808107,0.01939119160932083,0.11108394959924879,1.0,1253014,1718736,3025962,0.4140878173618836,0.5679965577888949,19421.372448979593,8021.2704081632655,75464.94387755102,40265.739795918365,2251.6632653061224,3235.918367346939,14063.515306122448,570.2908163265306,47.33673469387755,0.17905125379582212,0.7117243136105169,0.025154144281311845,1063.3986395820973,16.18642026600476,10.401122592942048,0.24439349078374067,10.401122592942048,0.0011079189408062583
Montana,MT,14020.65,27.95,11651.07,728.76,12667.54,84.91,9885.93,0.0,26688.19,0.5253503515974669,0.0010472797143605468,0.4365627642788814,0.027306460273251953,0.47464964840253315,0.0031815570857371745,0.3704233970156837,0.0,1.0,244786,343602,603674,0.4054936936160908,0.5691846924002028,22949.695652173912,9360.608695652174,70919.95652173914,39748.086956521736,2609.0,169.43478260869566,20089.91304347826,274.30434782608694,874.5217391304348,0.011167830154903507,0.8324947664183876,0.012453141293605134,1010.6869565217386,12.949066575218456,1.520319026446458,0.07702961240761122,1.520319026446458,0.0005477697051311807
Nebraska,NE,19506.58,88.51,19945.27,1260.18,21240.45,109.99,1057.37,5618.5,40747.03,0.4787239708022892,0.002172182856026562,0.4894901542517332,0.03092691663662358,0.5212760291977109,0.0026993378413101518,0.0259496213589064,0.13788735031731147,1.0,374583,556846,956383,0.3916663094178796,0.5822416333205421,15080.917808219177,5957.520547945205,86224.34246575342,43816.46575342466,1523.5068493150684,1147.9041095890411,11668.493150684932,584.4383561643835,94.36986301369863,0.0655971825795916,0.8020092170651276,0.030314169464507636,1070.0670857192245,2.990469435215141,5.12622335760936,0.15770215247225497,5.12622335760936,0.00019979027828315795
Nevada,NV,16381.91,48.89,2735.26,24844.42,27594.88,10414.56,1685.78,0.0,43976.79,0.37251263677953755,0.0011117227974119985,0.06219780934442919,0.5649439170071303,0.6274873632204624,0.23681946772376972,0.03833340268809979,0.0,1.0,703486,669890,1405376,0.5005678195728402,0.4766624732455941,33978.7972972973,12829.081081081082,76851.7972972973,42388.52702702703,4513.472972972973,3181.527027027027,18269.18918918919,3187.527027027027,376.0405405405405,0.07869783599986695,0.5857764258871659,0.0864998782500392,1363.4002887881118,205.55278295915247,3.477185575766159,0.14889939264793967,3.477185575766159,0.005664837399138815
New Hampshire,NH,13702.09,852.76,305.46,4501.92,5302.59,244.19,1201.29,10921.53,19004.68,0.720985041579232,0.04487105281435941,0.01607288310037317,0.23688480942588877,0.27901495842076796,0.012848940366267677,0.06321021979849174,0.5746758166935724,1.0,424921,365654,806182,0.5270782528014766,0.453562595046776,14385.442307692309,5659.365384615385,110648.44230769231,55103.153846153844,959.8269230769231,301.78846153846155,12515.26923076923,549.8076923076923,19.98076923076923,0.01603115631808005,0.8939776379220278,0.030506577877337352,975.5014585132437,7.616083751974893,2.7596559860414374,0.12214989743874784,2.7596559860414374,0.0006444598398519177
New Jersey,NJ,33567.68,663.47,497.78,33394.32,34668.87,4690.9,0.0,28318.8,68236.55,0.4919310838546204,0.009723088286263008,0.007294917459924336,0.48939050992466643,0.5080689161453796,0.06874468301811858,0.0,0.41500925823477297,1.0,2608335,1883274,4549353,0.5733419675281298,0.413965238573485,18667.307189542484,6917.470588235294,114930.38997821351,55892.42701525054,1829.2135076252723,2575.6514161220043,10802.023965141612,1945.0174291938997,63.10021786492375,0.10450928331227252,0.6532541456713858,0.0953120348810445,999.6258353446018,30.384553969760304,3.3386225928617006,0.18086292425719766,3.3386225928617006,0.001856358317456318
New Mexico,NM,17193.48,17.07,13292.0,10978.17,24288.71,2566.44,120.82,0.0,41482.19,0.41447859912892737,0.00041150189997201205,0.32042666985518364,0.2646477922211918,0.5855214008710725,0.061868478978568876,0.002912575252174487,0.0,1.0,501614,401894,923965,0.5428928584957222,0.4349666924612945,27427.869565217392,11028.260869565218,67073.43478260869,37837.84782608696,4415.739130434783,642.1086956521739,16937.58695652174,573.9565217391304,1423.804347826087,0.018983440030937694,0.6205305689869082,0.01986667529540505,1416.5377781832244,98.66710581018258,5.421196724904585,0.1758933206327691,5.421196724904585,0.003678587630559635
New York,NY,65497.13,1880.13,0.0,60312.01,63159.49,5256.5,26980.83,26812.16,128656.62,0.5090848026319983,0.014613550394841713,0.0,0.4687827956307262,0.49091519736800177,0.04085681716183746,0.20971194486533226,0.2084009357621862,1.0,5230985,3244798,8661735,0.603918845358349,0.3746129384009093,24075.41737891738,9121.850427350428,102975.71794871795,54191.42022792023,3261.131054131054,4137.793447293448,12886.019943019943,2452.594017094017,111.84757834757835,0.11802261432766242,0.6644112217921976,0.07638535676271982,977.3157179808828,30.028894847959744,2.2316655470037543,0.13859490053204535,2.2316655470037543,0.0027620402641414417
North Carolina,NC,61646.64,1824.87,14673.74,58131.39,73290.93,11858.41,4686.29,42644.28,134937.57,0.4568530469312586,0.013523809566157148,0.10874465873366475,0.4308021109317442,0.5431469530687413,0.08788071402204738,0.0347293196401862,0.3160297017354025,1.0,2684292,2758773,5524802,0.4858621177736324,0.4993433248829551,26164.258865248226,10257.81560283688,73702.12411347518,39860.074468085106,3131.003546099291,5861.163120567376,16287.390070921985,1059.5567375886526,194.06737588652481,0.19414761528943528,0.6731358036663815,0.030278345163100233,1086.2246304818693,16.40021449333278,5.0717709624061555,0.1873068251060059,5.0717709624061555,0.0006110009700187068
North Dakota,ND,18043.02,0.0,24831.19,1453.36,26359.66,1.72,1791.41,0.0,44402.68,0.40634979690415085,0.0,0.559227280875839,0.03273135765679008,0.5936502030958491,3.873640059563972e-05,0.040344636855252886,0.0,1.0,114902,235595,361819,0.3175676235908009,0.6511404873707572,27496.153846153848,11641.923076923076,81591.92307692308,42946.07692307692,2904.4615384615386,1292.923076923077,23320.53846153846,671.1538461538462,598.0,0.03583160975386075,0.8627773456834604,0.021321621432157725,971.9423076923078,2.1391682058092742,3.8765538460302316,0.14258014391233603,3.8765538460302316,5.866232336634194e-05
Ohio,OH,22274.59,530.15,42992.71,68864.95,112971.31,1246.67,506.97,16826.79,135245.9,0.1646969704811754,0.003919897017210873,0.31788549597436966,0.5091832728385851,0.8353030295188246,0.009217802535973365,0.0037485054999818854,0.12441626696262142,1.0,2679165,3154834,5922202,0.4523933834070502,0.5327130010087464,19225.954648526076,7977.476190476191,70201.65759637188,37870.251700680274,2584.9727891156463,3147.562358276644,14091.91156462585,587.3287981859411,29.575963718820862,0.1594139503335311,0.7505584853010033,0.02286346384467448,955.4716319203268,7.194095185946444,5.903903416569174,0.23130778799048773,5.903903416569174,0.00036654771926705005
Oklahoma,OK,39777.71,311.79,8954.03,36022.92,45009.86,166.82,1679.1,0.0,84787.57,0.4691455363091547,0.003677307888408643,0.10560545608277251,0.4248608610908414,0.5308544636908452,0.0019675053784416747,0.01980361036411351,0.0,1.0,503890,1020280,1560699,0.3228617433598663,0.6537327184806295,18447.2578125,7209.3984375,67572.3828125,35667.6796875,2563.1875,1799.0234375,12343.03125,625.328125,873.671875,0.11183335892274973,0.6533489851783878,0.02897687707086327,1128.2364208906042,7.643898529670891,9.019733237147761,0.22421965441846964,9.019733237147761,0.000585678748320631
Oregon,OR,42670.54,984.97,0.0,19054.76,19091.9,2012.52,31304.32,0.0,61762.44,0.6908817073936846,0.015947718386773578,0.0,0.3085169562601477,0.30911829260631546,0.032584852541447516,0.5068504417895406,0.0,1.0,1340383,958448,2374321,0.5645331865404888,0.4036724604634335,26855.17391304348,10702.8,83312.79130434783,44402.086956521736,3070.104347826087,632.7130434782608,20592.4,1525.9652173913043,246.2086956521739,0.022123553536696035,0.7807617613942257,0.04671769652519468,921.1633570234062,87.56589782726283,2.0744469531017296,0.07131905700634232,2.0744469531017296,0.00312213280094469
Pennsylvania,PA,84311.83,1592.95,23929.78,130163.55,155781.59,1046.54,1910.87,76166.02,240093.43,0.3511625869979033,0.006634708829808463,0.09966861650483314,0.5421370755542957,0.6488373713516442,0.004358886455160393,0.00795886001545315,0.31723491975603,1.0,3458229,3377674,6915283,0.5000849567544814,0.4884361204017247,16820.364468864467,6782.263736263736,83542.97985347985,44458.168498168496,2003.6813186813188,2361.813186813187,12022.115384615385,795.0879120879121,31.071428571428573,0.09716352693985902,0.792345099171943,0.03568445465348472,969.6656964996893,11.328106374669465,4.475212078237722,0.1931233468687013,4.475212078237722,0.0007304520811021366
Rhode Island,RI,1327.32,218.45,0.0,6963.77,7022.67,888.48,7.38,0.0,8349.99,0.15896066941397535,0.026161707978093387,0.0,0.8339854299226707,0.8410393305860246,0.10640491785020102,0.0008838333938124477,0.0,1.0,307486,199922,516990,0.5947619876593357,0.3867038047157585,20475.6,8149.7555555555555,89103.8,45525.84444444445,2338.288888888889,1394.111111111111,14774.777777777777,754.7555555555556,74.77777777777777,0.04684822291185602,0.787271263629601,0.03254697471955345,989.3432923809945,9.686497582001945,2.016828974203614,0.12353389967551193,2.016828974203614,0.0006013352830472594
South Carolina,SC,60613.99,1992.03,14243.46,24143.89,38615.96,2942.0,1310.21,54369.75,99229.95,0.6108437019266865,0.020074886664762,0.1435399292249971,0.2433125281228097,0.38915629807331353,0.029648306786408743,0.01320377567458212,0.5479167328009336,1.0,1091541,1385103,2514096,0.4341683849781392,0.5509348091719648,23822.467065868263,9481.353293413174,67893.53892215568,37895.94011976048,3030.131736526946,5546.011976047904,15893.185628742514,479.97005988023955,68.31736526946108,0.22652513981304628,0.6775542755583441,0.016015590250073115,1101.9408235730918,9.950776055688111,6.192473292135628,0.18988133774289453,6.192473292135628,0.00046071804381436234
South Dakota,SD,14586.74,28.75,1874.8,1424.34,3315.99,4.34,4258.54,0.0,17902.73,0.8147774110428968,0.0016059003291676744,0.10472145868255847,0.07955993303814557,0.1852225889571032,0.00024242112795087677,0.23787098392256376,0.0,1.0,150471,261043,422609,0.3560525213613529,0.6176938967225024,18238.78947368421,7431.421052631579,81210.68421052632,41455.78947368421,1788.9473684210527,802.1578947368421,14977.526315789473,323.57894736842104,683.1578947368421,0.030678076120397368,0.8446427386320575,0.014751712904065772,1085.075201993287,1.468393599432539,5.575665957740922,0.16772587970316216,5.575665957740922,0.00016778630480417472
