Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
32323,11353,79330,35409,5101,2907,12037,13492,106,1851
36546,14694,76272,36736,5097,3137,23206,5226,182,1852
29062,10424,66645,31737,5016,2667,17419,4658,8,1854
11126,4117,125159,47293,767,1016,8225,589,0,1862
9570,3611,128682,52711,298,248,8001,853,11,1863
15529,5851,141442,74826,417,177,13710,676,0,1864
25443,9492,154505,66690,907,106,22185,1632,14,1867
30817,11944,120891,54499,956,947,27553,1293,0,1876
12385,4045,140901,53317,572,227,10125,1183,0,1879
27026,10874,125707,65037,1119,281,24446,1099,14,1880
24524,8606,174424,67815,416,201,17505,5553,32,1886
23191,7925,151034,58224,572,407,20256,1197,21,1887
22809,8066,208531,100383,754,557,17075,3600,77,1890
1658,1076,20699,26273,711,395,747,9,46,1901
51931,18797,59445,28397,8125,7800,19874,2621,247,1902
20078,7077,94809,41784,1638,1064,13754,1115,16,1904
26986,8965,74792,31319,3579,4277,12995,2065,207,1905
28566,10768,96064,46357,2472,949,23398,864,14,1906
15208,6315,116161,72216,1002,462,13564,440,57,1907
3336,1626,105867,78467,151,63,3146,20,0,1908
41611,16570,98474,55220,4106,1224,36416,1075,96,1915
8234,2879,203750,94741,125,2,7642,93,0,1921
27734,11147,116636,55999,1070,675,25236,667,30,1923
13072,4752,157955,73591,813,287,10759,1071,0,1940
20373,8195,163561,90924,602,228,19437,204,111,1945
9668,3192,168245,65848,327,165,8612,232,19,1949
54057,22568,91032,48337,3736,1696,45949,843,56,1960
44435,19827,79267,46948,5928,2614,34016,1367,95,1970
7612,2652,139250,60200,364,54,7150,253,0,1982
6532,2217,162734,60089,327,116,5587,370,0,1983
4933,1325,181982,61511,140,118,4560,128,0,1984
4521,1624,181125,74521,157,0,3994,92,30,1985
17025,6270,116152,48122,867,141,14449,199,0,2019
24293,9649,130134,71858,1216,2204,18327,2032,138,2021
8330,3107,178013,108042,323,65,7795,50,32,2025
25150,10427,118877,65381,994,1498,21272,588,13,2026
5886,1887,250001,141737,95,99,4640,770,0,2030
4847,1536,170174,58167,332,133,3537,544,0,2032
18476,7212,104350,61933,965,782,15203,1209,12,2035
32777,12131,138062,61841,1462,489,28921,1855,10,2038
24143,9230,170326,97682,769,215,22691,579,17,2043
23831,8880,125506,57468,1111,454,20558,1552,53,2048
12844,4463,215099,97265,417,199,11394,536,0,2052
13164,4539,165614,70494,555,196,11128,721,11,2053
8565,3172,140816,61499,359,156,7671,222,0,2054
11527,3291,182716,61391,192,775,9838,224,2,2056
11281,3607,179777,69097,336,36,10306,410,0,2061
31343,13114,98653,59459,2337,2102,24035,2088,6,2062
18718,7536,127255,80985,426,42,17072,378,0,2066
18473,6386,181545,79984,262,548,12850,3535,33,2067
1480,476,200496,67877,0,0,1334,0,0,2071
29051,10858,98145,47082,2011,5208,18527,1627,0,2072
19990,7345,141599,66416,856,503,17943,641,67,2081
16149,5377,192887,79476,803,449,12724,1800,0,2090
12173,4436,151833,68046,448,248,11209,250,12,2093
4218,2002,170379,147172,530,176,3598,107,0,2108
3559,1993,162179,116274,243,42,2893,381,0,2109
2337,1312,126157,150082,346,129,2000,103,0,2110
8417,3746,72321,72723,2099,202,3347,3958,27,2111
6688,4042,106625,81049,739,238,5977,213,8,2113
13356,7719,121418,108226,1452,413,10145,1158,13,2114
27838,9845,51454,38710,5682,2595,16024,5302,28,2115
22286,11915,131648,128940,2976,1150,15072,3442,45,2116
28392,14133,74155,76896,7200,4843,13979,4452,229,2118
26821,11823,37158,29473,8218,13328,4972,721,148,2119
14364,4584,51698,26689,4696,2892,5850,2525,137,2120
29820,10513,42411,27161,7282,16227,3386,203,27,2121
24705,9449,81025,42458,3615,7074,8681,3756,132,2122
55336,19166,72189,36873,9653,27518,11458,3672,113,2124
31903,13284,64983,41714,7492,9656,11150,3508,292,2125
24994,8539,66689,33126,4661,18306,1838,289,9,2126
36175,17406,145357,86557,3763,1679,28507,2527,32,2127
45357,17308,84023,43502,6423,1437,21623,1844,284,2128
19832,9187,146815,88676,1657,1394,14998,1602,2,2129
41479,17922,114933,66470,5018,5282,26372,2640,219,2130
31637,12371,101566,51257,3113,7669,17556,684,62,2131
26488,10967,132457,66738,1067,1309,19931,2302,78,2132
17969,8058,80027,43674,3820,985,10829,4129,101,2134
44480,20713,87603,51016,8349,2461,28348,7546,149,2135
39498,13591,91579,39627,4305,20371,10499,803,88,2136
38006,14480,118320,72024,3543,2278,24624,6634,99,2138
39856,15995,117124,66716,4271,5647,21992,7561,36,2139
21553,9949,137792,83541,2250,3339,12417,3977,10,2140
14402,7069,103451,69254,2116,1258,9065,2796,12,2141
4474,2140,150294,99113,384,288,2042,1801,22,2142
25329,12074,118440,69458,2174,862,18885,2590,46,2143
25022,11203,133627,74129,2906,835,19589,2390,72,2144
27692,11608,113469,56979,2832,1404,18482,2860,104,2145
65463,25809,90295,43728,8826,8686,31501,17983,118,2148
48685,17054,77796,33954,6980,6676,22397,4337,459,2149
39875,13371,70968,30438,8354,2472,13536,1124,221,2150
60592,21555,78882,36342,7363,2404,35548,3595,64,2151
19031,8328,98901,57278,1554,747,15006,306,345,2152
63873,25368,115048,56897,4425,4976,44322,7541,16,2155
1994,453,67969,31908,334,200,1201,314,0,2163
60938,28034,86335,48811,7009,5005,35850,14740,95,2169
19928,8101,97362,47707,1643,835,11155,7111,4,2170
19882,8778,101013,57032,2288,624,10888,7342,39,2171
29477,12037,126305,60957,1177,793,23647,2791,14,2176
22992,9654,112935,60043,1077,357,19224,1707,8,2180
38748,14407,120593,56554,1939,1296,27389,8036,4,2184
28683,9182,170144,70991,1701,4584,20236,1714,51,2186
15313,6722,100650,51075,878,892,12613,953,24,2188
15567,6433,87314,49054,1176,1835,11852,668,0,2189
18516,8079,95891,53116,1037,292,15558,1704,13,2190
7904,3462,106596,52021,467,122,6857,590,0,2191
1221,842,111786,120676,204,56,842,223,0,2199
5706,3730,179643,173974,193,110,4802,494,0,2210
24522,8329,64138,35778,4206,1709,14789,5091,62,2215
69225,23345,70837,33981,9210,28048,21138,1389,65,2301
35488,12144,80702,34568,4076,14155,12774,541,65,2302
4730,1770,125000,45849,140,986,3270,158,19,2322
14382,5085,122693,55451,559,267,13307,67,0,2333
14773,4843,163613,67346,725,84,13743,228,0,2339
10513,4030,117708,56737,241,57,9386,364,28,2341
11282,4587,96741,45810,832,1121,8465,377,0,2343
24268,9648,89290,46826,1783,224,22595,351,0,2346
11625,4123,119712,50294,548,206,10915,151,7,2347
17003,6237,120535,48725,921,145,14704,497,0,2351
12201,4572,116875,61534,925,433,10359,275,20,2356
34747,12473,95207,42715,3210,14094,10577,4887,0,2368
17721,6821,98295,46188,1273,549,15657,162,31,2370
11501,4499,117695,58906,477,616,9426,433,0,2375
7648,2802,120414,48429,474,115,7184,53,0,2379
15146,5701,101088,43874,968,339,13510,149,124,2382
16356,5589,221458,104854,488,354,9796,4816,0,2420
17865,6796,200294,100873,924,242,10289,6006,0,2421
22124,9374,132970,95258,1926,807,15505,3199,120,2445
31517,14365,116644,82453,3816,868,21603,6025,17,2446
18379,7928,117932,64930,1477,1156,11799,2775,89,2451
15830,5507,106674,46780,1393,1693,10492,2074,12,2452
30365,12636,111294,56937,2305,1750,20055,3512,240,2453
12706,4941,133936,77543,555,433,9421,1502,0,2458
19182,6541,210785,102845,562,531,14676,2798,0,2459
9888,3946,149000,83599,330,475,7605,865,37,2460
7049,2676,191711,101097,408,78,5141,1280,146,2461
1438,525,136375,80303,102,28,1045,225,0,2462
3440,1324,126346,69093,157,74,2101,1030,0,2464
11823,4518,178333,101808,448,266,8619,1636,9,2465
8859,3023,144934,71672,686,250,6487,1649,8,2466
21709,6546,171250,84754,1030,675,15193,3692,7,2467
5589,1962,250001,133847,49,42,4532,692,0,2468
35300,15999,117584,69431,2268,1384,26057,4169,51,2472
28167,11823,134169,72141,1306,705,21510,3762,31,2474
17739,7628,138959,84826,1166,587,13326,2343,14,2476
26964,10414,164720,88807,1040,440,19542,4881,14,2478
17100,4834,250001,118907,528,393,13315,1966,57,2481
11004,4107,230625,117432,517,121,8422,1490,0,2482
21192,7202,207844,93450,637,342,18326,1721,20,2492
11759,3741,250001,118412,598,361,9007,1560,20,2493
10765,4110,203690,99169,222,409,8468,1334,11,2494
17178,6784,63432,35969,2023,2310,11070,165,30,2601
1922,690,135735,75329,2,3,1766,8,0,2630
11929,4673,114936,54093,791,211,10320,101,10,2632
2465,970,108651,51622,32,0,2436,0,0,2668
9246,3870,69167,39481,585,1150,6623,152,18,2673
7185,3208,104741,60551,445,11,6946,26,0,2675
4416,1635,121060,47418,252,3,4322,10,30,2702
46356,17993,91458,43138,4204,2079,39098,1580,11,2703
3620,1367,114899,51935,152,6,3347,0,0,2715
4783,1608,134948,51009,122,47,4623,84,8,2717
7213,2502,98848,39496,814,506,5991,77,26,2718
15899,6985,86676,54224,1109,55,15133,254,22,2719
30558,13830,60076,34596,4855,2115,24054,547,0,2720
26807,11157,51958,29072,4965,1582,19171,1118,61,2721
17164,7605,43579,28912,4199,937,12387,347,10,2723
